lambdas,Dx,Dy,Dy_mean,flux_sum,flux_integral,flux_err,fwhm,Dy_fwhm_sup,Dy_fwhm_inf,Dx_rot,amplitude_moffat,x_mean,gamma,alpha,eta_gauss,stddev,saturation
1009.375798524363,1034.1590469827102,-14.397031383748018,-11.836276147377667,57.44473377768147,64.2274915149887,0.9924558364805145,15.948408483272708,-6.423349382193424,-22.370713385302615,1034.2267797196243,10.04514316341006,-2.560922954248209,18.453152140910134,8.97856646013286,-0.7321099285478255,2.727593402762294,1000.0000000000002
1010.192799934171,1035.1589814915255,-14.408142631476291,-11.847720712901861,58.88732673694773,64.6979826845604,0.9964678374433156,15.978991804019252,-6.419169971017378,-22.397115291935208,1035.2267797196243,10.1262666593401,-2.560589614621481,18.497149839872897,8.999574171973649,-0.7335968100791952,2.7315244648653243,1000.0000000000002
1011.0094153970871,1036.158916000341,-14.419252316732905,-11.859165278426056,55.18882214027447,61.87943095797909,0.9860862343959207,16.009571999617805,-6.414990559841332,-22.42351407362448,1036.2267797196243,9.69244196754198,-2.5602547124207575,18.54120760407567,9.02061340249773,-0.7350881612109696,2.735460433870454,1000.0000000000002
1011.8256448440687,1037.1588505091565,-14.43036043951786,-11.87060984395025,53.40148790056109,60.66132510490283,0.981020685493184,16.008899070068374,-6.426435125365526,-22.434285753670196,1037.2267797196243,9.508935913779462,-2.559918247646042,18.58532543351845,9.041684151705109,-0.7365839819431488,2.7394013097776817,1000.0000000000002
1012.6414882066177,1038.158785017972,-14.441466999831155,-11.882054409474444,51.75837407173088,58.93861969915793,0.9763392512701785,16.03947301537095,-6.422255714189478,-22.46067828547283,1038.2267797196243,9.24608737743992,-2.559580220297331,18.62950332820124,9.062786419595783,-0.7380842722757327,2.7433470925870083,1000.0000000000002
1013.4569454167831,1039.1587195267873,-14.45257199767279,-11.89349897499864,50.74228228922732,57.84809591894579,0.9734261849719448,16.07004383552554,-6.418076303013432,-22.487067692332147,1039.2267797196243,9.082177933516437,-2.5592406303746245,18.673741288124035,9.083920206169752,-0.7395890322087214,2.7472977822984337,1000.0000000000002
1014.2720164071579,1040.1586540356027,-14.46367543304277,-11.904943540522833,46.82086141819981,55.142847741260645,0.962152807223879,16.10061153053215,-6.413896891837385,-22.513453974248154,1040.2267797196243,8.664389303704745,-2.5588994778779295,18.718039313286845,9.10508551142702,-0.7410982617421149,2.751253378911958,1000.0000000000002
1015.0867011108801,1041.1585885444183,-14.474777305941085,-11.916388106047027,45.76988860257321,53.77235477663646,0.9590956391047052,16.09992610039076,-6.425341457361578,-22.52421315452059,1041.2267797196243,8.455914848948096,-2.5585567628072354,18.76239740368966,9.126282335367584,-0.7426119608759132,2.755213882427581,1000.0000000000002
1015.9009994616301,1042.1585230532337,-14.485877616367745,-11.92783267157122,44.917109877242005,52.00196057707736,0.9566043820357262,16.13244067010139,-6.420185547641766,-22.55156968509372,1042.2267797196243,8.184252436597708,-2.5582124851625494,18.806815559332488,9.147510677991441,-0.7441301296101162,2.7591792928453023,1000.0000000000002
1016.7149113936326,1043.158457562049,-14.496976364322743,-11.939277237095416,43.81245625392402,50.52814273362081,0.9533730316730321,16.166905239664025,-6.41405313937819,-22.5798995892673,1043.2267797196243,7.958942854116132,-2.557866644943868,18.85129378021532,9.168770539298595,-0.745652767944724,2.763149610165123,1000.0000000000002
1017.5284368416538,1044.1583920708645,-14.508073549806085,-11.95072180261961,43.86992504098783,50.411159992610955,0.9535221900543982,16.20136668407868,-6.407920731114612,-22.608226368497554,1044.2267797196243,7.947243504541971,-2.5575192421511943,18.895832066338166,9.190061919289045,-0.7471798758797366,2.7671248343870425,1000.0000000000002
1018.3415757410024,1045.1583265796799,-14.519169172817763,-11.962166368143803,41.446138686752775,49.04994323794023,0.9464165285675487,16.20066875334534,-6.419365296638806,-22.618973048996722,1045.2267797196243,7.739290830189751,-2.5571702767845252,18.940430417701023,9.211384817962793,-0.748711453415154,2.7711049655110607,1000.0000000000002
1019.1543280275278,1046.1582610884955,-14.530263233357788,-11.973610933667999,37.940427040475086,47.28381670579949,0.936051936645964,16.235123947464018,-6.41323288837523,-22.647293578340346,1046.2267797196243,7.467119282145991,-2.556819748843864,18.985088834303887,9.232739235319837,-0.7502475005509761,2.7750900035371773,1000.0000000000002
1019.9666936376195,1047.1581955973109,-14.541355731426151,-11.985055499192192,38.36344760183608,47.290868359826156,0.9372878430311085,16.269576016434705,-6.407100480111653,-22.675610982740647,1047.2267797196243,7.474822114049534,-2.5564676583292076,19.02980731614676,9.254125171360174,-0.7517880172872031,2.7790799484653927,1000.0000000000002
1020.7786725082078,1048.1581301061262,-14.552446667022856,-11.996500064716386,37.56558052080109,45.91758869834083,0.9349016334164426,16.268868710257408,-6.418545045635847,-22.686348288409864,1048.2267797196243,7.264250067158375,-2.556114005240559,19.07458586322964,9.275542626083809,-0.7533330036238348,2.783074800295707,1000.0000000000002
1021.5902645767619,1049.1580646149416,-14.563536040147902,-12.007944630240582,34.655248430025146,42.77951192688778,0.9261952876768348,16.30331452893212,-6.412412637372271,-22.714659442923534,1049.2267797196243,6.773932023807038,-2.555758789577915,19.119424475552535,9.296991599490738,-0.7548824595608712,2.7870745590281203,1000.0000000000002
1022.4014697812893,1050.157999123757,-14.574623850801288,-12.019389195764775,31.261602550500143,42.51801544478057,0.9159417454514535,16.337757222458848,-6.4062802291086935,-22.74296747249388,1050.2267797196243,6.7387054644186675,-2.555402011341279,19.164323153115436,9.318472091580968,-0.7564363850983125,2.7910792246626324,1000.0000000000002
1023.2122880603357,1051.1579336325726,-14.585710098983014,-12.030833761288969,34.25332590259863,42.853986401213085,0.9249514174893487,16.372196790837585,-6.400147820845116,-22.771272377120916,1051.2267797196243,6.798269996144844,-2.5550436705306474,19.209281895918345,9.33998410235449,-0.7579947802361585,2.7950887971992424,1000.0000000000002
1024.0227193529845,1052.157868141388,-14.596794784693081,-12.042278326813165,29.8768420677487,39.556917661842355,0.9116942930601901,16.37147698406833,-6.411592386369311,-22.781997183016852,1052.2267797196243,6.281141193702186,-2.5546837671460203,19.254300703961263,9.36152763181131,-0.7595576449744093,2.799103276637952,1000.0000000000002
